resistance_class,mic_id,gene_group,estimate.factor,std.factor,pval.factor,exp_coef,ranefs,sdcor,exp_coef_lower,exp_coef_upper
cephalosporin,cefazolin,blaEC-18,1.5494938057653473,0.3961569101163493,9.179558834745452e-5,4.709085867061875,"horse, cat, dog",0,4.709085867061875,4.709085867061875
cephalosporin,cefovecin,blaEC-18,1.4930393545027971,0.39556855174911987,1.6038442709326043e-4,4.450601940252482,"horse, cat, dog",0.5672330507321564,2.5239024722316783,7.848107384698074
cephalosporin,ceftazidime,blaEC-18,1.314152136699326,0.3190169793273811,3.798933457251692e-5,3.7215942440183007,"horse, cat, dog",0,3.7215942440183007,3.7215942440183007
cephalosporin,cephalexin,blaEC-18,1.5932537466543133,0.4035673023939168,7.883124267582348e-5,4.919730470841465,"cat, dog",0.33311379973889144,3.5259148937526463,6.864529812846909
tetracycline,doxycycline,tet(34),1.5808454730573729,0.29539844643484764,8.719438088266234e-8,4.859062281280845,"horse, cat, dog",0,4.859062281280845,4.859062281280845
tetracycline,tetracycline,tet(34),0.7549948479003923,0.1730339114579456,1.281286703000543e-5,2.127600561717041,"cattle, swine, chicken, turkey, horse, cat, dog",0.7797379291770596,0.9755605195972945,4.640085427080686
cephalosporin,cefazolin,blaTEM-1,1.2099913749967346,0.3614451906900938,8.150037147808295e-4,3.3534557288576785,"horse, cat, dog",0.25300701010685267,2.603832413368378,4.3188898285741555
tetracycline,doxycycline,tet(B),5.746539986143979,0.8060546402337102,1.0094008590876829e-12,313.10543477798575,"horse, cat, dog",0.2852132198837176,235.40955070932546,416.4445027490041
tetracycline,tetracycline,tet(B),3.7497677133946508,0.3442949659488524,1.2702765139734272e-27,42.51120606933683,"cattle, swine, chicken, turkey, horse, cat, dog",0.8434259933217332,18.28976694427176,98.80949533015378
cephalosporin,cefazolin,blaEC-5,-1.7157783043940698,0.36010804485769365,1.892090750957243e-6,0.17982370865157715,"horse, cat, dog",0,0.17982370865157715,0.17982370865157715
cephalosporin,cefovecin,blaEC-5,-1.6061617633708039,0.3744120643992942,1.788149756973097e-5,0.20065630430100204,"horse, cat, dog",0.2928529908951104,0.14971605368433813,0.26892875857272386
cephalosporin,ceftazidime,blaEC-5,-2.336001154755265,0.5746608433344186,4.8030732278288706e-5,0.09671360875243057,"horse, cat, dog",0.10944781345103036,0.08668720636399715,0.10789968335861508
cephalosporin,cephalexin,blaEC-5,-1.779095664655269,0.37207319151794077,1.7392756818135927e-6,0.16879072168446072,"cat, dog",0.07643108468576149,0.15637055289178545,0.18219739714342179
cephalosporin,cefazolin,blaCMY-2,4.902593545848189,1.0506508218551311,3.0675476521822175e-6,134.63851842496527,"horse, cat, dog",0,134.63851842496527,134.63851842496527
cephalosporin,cefovecin,blaCMY-2,5.1813902352431445,1.053964147167128,8.82865569003528e-7,177.93000368749244,"horse, cat, dog",0.1535739663341114,152.59941250008498,207.46532174370884
cephalosporin,ceftazidime,blaCMY-2,4.823799429980204,0.6934131373500555,3.4857715188993233e-12,124.43698335595845,"horse, cat, dog",0.44408046461249273,79.81559930525097,194.00421673852384
cephalosporin,cephalexin,blaCMY-2,4.887298002082085,1.0506751968870875,3.2940406984242176e-6,132.59481866743351,"cat, dog",1.984653304948426e-8,132.59481603588605,132.594821298981
aminoglycoside,gentamicin,aac(3)-VIa,3.242271801877803,0.4213579793326931,1.4169877448074098e-14,25.591795245128257,"cattle, swine, chicken, turkey, horse, cat",0.17678122112613548,21.44497990138708,30.54048019071388
aminoglycoside,gentamicin,aac(3)-IId,3.944847008036706,0.49757473613837877,2.2243503342918043e-15,51.668432652434745,"cattle, swine, chicken, turkey, horse, cat",0.17061938630438273,43.563847548871394,61.28078861180268
tetracycline,doxycycline,tet(A),2.0104483447802473,0.39944020447583356,4.824482397788044e-7,7.466664236919371,"horse, cat, dog",0,7.466664236919371,7.466664236919371
tetracycline,tetracycline,tet(A),3.4758919497424943,0.30591291026135115,6.438313519196206e-30,32.326649427939564,"cattle, swine, chicken, turkey, horse, cat, dog",0.6550950876347224,16.790224836703025,62.23932516689916
folate pathway antagonist,trimethoprim_sulfamethoxazole,dfrA17,4.422027113508147,0.4768883764363111,1.8154850781269157e-20,83.26490180546959,"cattle, swine, chicken, turkey, horse, cat, dog",0.9798106687875954,31.256158998669395,221.8136871190615
phenicol,chloramphenicol,catA1,4.0405797623133335,0.6331912594126291,1.7559749599659917e-10,56.8592981296366,"horse, cat, dog",0.2350990318199852,44.94685224264924,71.9289476900716
penicillin,ampicillin,blaTEM-1,3.446056292861411,0.4635151786666748,1.0487399595745129e-13,31.376408625092072,"cattle, swine, horse, cat, dog",0.11983292646596003,27.833027814264714,35.3708919050552
penicillin,ampicillin,blaTEM-1B,3.345901049494386,0.49635231955878634,1.573218854528368e-11,28.38614146531375,"cattle, swine, horse, cat, dog",0.14599196108446455,24.530300007157074,32.84807063320499
penicillin,ampicillin,blaEC-5,-0.9530997165066738,0.27487459804410724,5.255225419588036e-4,0.38554409195282513,"cattle, swine, horse, cat, dog",0,0.38554409195282513,0.38554409195282513
penicillin,ampicillin,blaCMY-2,3.0636894367314857,0.7520976923044734,4.63066971121619e-5,21.40638916824164,"cattle, swine, horse, cat, dog",0.39130978472307965,14.47437221186594,31.658264034868317
penicillin,amoxicillin,blaTEM-1,5.635655635409153,1.0560309479492749,9.468544253537639e-8,280.2425940591487,"chicken, turkey, cat",0.26237434615367716,215.5690528888471,364.3190452086642
penicillin,amoxicillin,blaTEM-1B,5.1921155815580695,1.0437788871309308,6.546885189218013e-7,179.84863519842457,"chicken, turkey, cat",0,179.84863519842457,179.84863519842457
sulfonamide,sulphadimethoxine,sul2,4.309837142217194,0.48209666664241657,3.8995319700167387e-19,74.42836671449187,"cattle, swine, chicken, turkey, cat",0.6139875914600204,40.279777772099436,137.52761505114307
sulfonamide,sulphathiazole,sul2,4.465888673469593,0.7753744612834255,8.4286493601751e-9,86.99830828535367,"chicken, turkey, cat",0,86.99830828535367,86.99830828535367
aminoglycoside,streptomycin,aph(3'')-Ib,2.27419568170128,0.5789358043512578,8.557170083385522e-5,9.72009781507739,"chicken, turkey, cat",0.595347278692784,5.359380569477334,17.628959225764827
aminoglycoside,streptomycin,aph(6)-Id,2.27419568170128,0.5789358043512578,8.557170083385522e-5,9.72009781507739,"chicken, turkey, cat",0.595347278692784,5.359380569477334,17.628959225764827
cephalosporin,ceftiofur,blaCMY-2,3.528476045753374,0.4986805069389889,1.4877714839242948e-12,34.072003854649445,"cattle, swine, chicken, turkey, horse, cat",0.23939688470984022,26.818157078476403,43.28789048681343
aminocyclitol,spectinomycin,aadA1,3.186865631347496,0.3194831883810213,1.95972717921141e-23,24.212417740940452,"cattle, swine, chicken, turkey, cat",0.5181752191959639,14.421071161632604,40.65170792732153
aminoglycoside,streptomycin,aadA1,2.3272827882474285,0.4840666894197291,1.526208775156459e-6,10.250052097428263,"chicken, turkey, cat",5.955510081948901e-5,10.24944167271933,10.250662558492184
aminoglycoside,streptomycin,aac(3)-VIa,2.470776534947359,0.5480879805943855,6.544387256594349e-6,11.831630960219087,"chicken, turkey, cat",1.4560391231470936e-7,11.831629237487455,11.831632682950971
sulfonamide,sulphadimethoxine,sul1,3.4151165812666626,0.5364135890814559,1.9329759945458815e-10,30.4204956807668,"cattle, swine, chicken, turkey, cat",0.7106953552401002,14.945664025445243,61.91806238170689
sulfonamide,sulphathiazole,sul1,4.660671987933064,1.0793905684532683,1.5753963597947514e-5,105.70709218543401,"chicken, turkey, cat",0.7703822620373935,48.925059327152965,228.38989859125996
aminocyclitol,spectinomycin,ant(3'')-Ia,3.0532326693586334,0.2700370643300354,1.2155294843101708e-29,21.18371379770525,"cattle, swine, chicken, turkey, cat",0.33425787209579905,15.164767311879698,29.59160012376507
aminoglycoside,streptomycin,ant(3'')-Ia,2.965429930638548,0.5338518581045519,2.7796070704570852e-8,19.403043411339212,"chicken, turkey, cat",0.5671785207563851,11.00391820558946,34.21309451674053
aminoglycoside,neomycin,aph(3')-Ia,3.7128100961261907,0.312239533805072,1.3197152529519117e-32,40.96877110555753,"cattle, swine, chicken, turkey, cat",0.08445655255784423,37.65077519597037,44.57916728575627
tetracycline,oxytetracycline,tet(A),4.609088023457707,0.7467582165068255,6.7376502602312e-10,100.39255222274345,"cattle, swine, chicken, turkey, cat",0.9127855352297596,40.298026125136296,250.10318149328916
phenicol,florfenicol,floR,4.984258411110638,0.4399037414813326,9.284495730348965e-30,146.09519227202298,"cattle, swine, chicken, turkey, cat",1.3619629331701684e-5,146.0932025232069,146.09718204793887
aminocyclitol,spectinomycin,aadA2,3.795291139379649,0.5393717221879265,1.971233659982561e-12,44.491187656901886,"cattle, swine, chicken, turkey, cat",0.20913805570202204,36.09495423469133,54.840512229245846
phenicol,florfenicol,cmlA1,1.6408171776834188,0.41382763668339817,7.340293792514133e-5,5.159383923441189,"cattle, swine, chicken, turkey, cat",0.6358017318891049,2.7319494696296287,9.743680388448833
sulfonamide,sulphadimethoxine,sul3,3.7687815337436,1.0240428929715901,2.3296286130442093e-4,43.32723987989745,"cattle, swine, chicken, turkey, cat",0.6293842690999676,23.08994553715544,81.30160864127548
aminoglycoside,neomycin,mef(B),1.4844086436106463,0.34589683709717173,1.774878431842978e-5,4.412355366582764,"cattle, swine, chicken, turkey, cat",0.3619938426654147,3.0722641593037165,6.336981090006288
tetracycline,chlortetracycline,tet(B),3.471966132002135,1.0257206003070798,7.120305890617826e-4,32.19998967834873,"cattle, swine",0,32.19998967834873,32.19998967834873
tetracycline,chlortetracycline,tet(A),3.440533905765813,0.7470746275588745,4.117892119526066e-6,31.203613510889763,"cattle, swine",0.34269535136654805,22.15002343267725,43.95776370604481
